 time t = 0
 6992843.28438 0 -1 10000 3  0
 968462952.358 0 0 41148.3848 3  6
 1467638173.77 0 0 41148.3848 3  7
 1339710611.01 0 0 41148.3848 3  8
 2076900912.54 0 0 41148.3848 3  9
 3355892267.58 0 0 41148.3848 3  13
 2377664087.63 0 0 41148.3848 3  14
 101837.227026 0 0 41148.3848 3  15
 559317342.238 0 0 41148.3848 3  16
 978130030.099 0 0 41148.3848 3  17
 time t = 2.36370749877e-011
 313345378.676 0 -1 41148.3848 13  3
 1582147223.15 0 0 41148.3848 13  2
 1582147223.14 0 0 41148.3848 13  3
 3164294445.88 0 0 41148.3848 13  4
 time t = 1.69765027864e-010
 6992843.28438 0 -1 10000 3  0
 968462952.358 0 0 41148.3848 3  6
 1467638173.77 0 0 41148.3848 3  7
 1339710611.01 0 0 41148.3848 3  8
 2076900912.54 0 0 41148.3848 3  9
 3355892267.58 0 0 41148.3848 3  13
 2377664087.63 0 0 41148.3848 3  14
 101837.227026 0 0 41148.3848 3  15
 559317342.238 0 0 41148.3848 3  16
 978130030.099 0 0 41148.3848 3  17
 time t = 2.27126214862e-010
 127126412.363 0 -1 41148.23871 7  2
 111686711.075 0 -1 41148.23871 7  3
 74529262.427 0 -1 41148.23871 7  4
 1669517002.87 0 0 41148.3848 7  2
 1669517002.86 0 0 41148.3848 7  3
 time t = 2.66700524468e-010
 6992843.28438 0 -1 10000 2  0
 968462952.381 0 0 41148.3848 2  6
 1788528291.55 0 0 41148.3848 2  7
 1916455853.7 0 0 41148.3848 2  8
 1179265552.49 0 0 41148.3848 2  9
 978231866.787 0 0 41148.3848 2  14
 3355788873.33 0 0 41148.3848 2  15
 559318899.617 0 0 41148.3848 2  16
 2377765924.55 0 0 41148.3848 2  17
 time t = 3.21585097717e-010
 45676919.2627 0 -1 41148.3848 14  2
 111003273.537 0 -1 41148.3848 14  3
 156665530.472 0 -1 41148.3848 14  4
 1582147221.61 0 0 41148.3848 14  2
 1582147221.55 0 0 41148.3848 14  3
 3164294442.85 0 0 41148.3848 14  4
 time t = 3.52280991151e-010
 6992843.28438 0 -1 10000 3  0
 968462952.358 0 0 41148.3848 3  6
 1467638173.77 0 0 41148.3848 3  7
 1339710611.01 0 0 41148.3848 3  8
 2076900912.54 0 0 41148.3848 3  9
 3355892267.58 0 0 41148.3848 3  13
 2377664087.63 0 0 41148.3848 3  14
 101837.227026 0 0 41148.3848 3  15
 559317342.238 0 0 41148.3848 3  16
 978130030.099 0 0 41148.3848 3  17
 time t = 4.69461665368e-010
 129386053.84 0 -1 41148.23871 8  2
 101635824.808 0 -1 41148.23871 8  3
 82320507.2168 0 -1 41148.23871 8  4
 1669517002.89 0 0 41148.3848 8  2
 1669517002.89 0 0 41148.3848 8  3
 3339034005.7 0 0 41148.3848 8  4
 time t = 7.44653553961e-010
 6992843.27789 0 -1 10000 4  0
 1936925904.74 0 0 41148.3848 4  6
 16801375.8527 0 0 41148.3848 4  7
 50070522.1158 0 0 41148.3848 4  8
 3189294566.89 0 0 41148.3848 4  9
 152899490.976 0 0 41148.3848 4  14
 3416.83019659 0 0 41148.3848 4  15
 4474509793.51 0 0 41148.3848 4  16
 3202993047.16 0 0 41148.3848 4  17
 time t = 7.96968296769e-010
 52224413.1272 0 -1 41148.3848 16  2
 52224413.1271 0 -1 41148.3848 16  3
 208896301.288 0 -1 41148.3848 16  4
 1582147224.32 0 0 41148.3848 16  2
 1582147224.31 0 0 41148.3848 16  3
 3164294448 0 0 41148.3848 16  4
 time t = 1.07918359429e-009
 6992843.27789 0 -1 10000 4  0
 1936925904.74 0 0 41148.3848 4  6
 16801375.8527 0 0 41148.3848 4  7
 50070522.1158 0 0 41148.3848 4  8
 3189294566.89 0 0 41148.3848 4  9
 152899490.976 0 0 41148.3848 4  14
 3416.83019659 0 0 41148.3848 4  15
 4474509793.51 0 0 41148.3848 4  16
 3202993047.16 0 0 41148.3848 4  17
 time t = 1.08555298787e-009
 111008061.285 0 -1 41148.3848 17  2
 45664833.7545 0 -1 41148.3848 17  3
 156672828.249 0 -1 41148.3848 17  4
 1514772993.66 0 0 41148.3848 17  2
 479027452.574 0 0 41148.3848 17  3
 3832194832.48 0 0 41148.3848 17  4
 time t = 1.2001735618e-009
 6992843.27789 0 -1 10000 4  0
 2229745079.03 0 0 41148.3848 4  6
 3023229303.98 0 0 41148.3848 4  7
 248137102.035 0 0 41148.3848 4  8
 3347479737.85 0 0 41148.3848 4  13
 673717185.178 0 0 41148.3848 4  14
 5.38276131319 0 0 41148.3848 4  15
 54307.109458 0 0 41148.3848 4  16
 3015855621.65 0 0 41148.3848 4  17
 time t = 1.21001930527e-009
 70143474.5383 0 -1 41148.3848 13  2
 48657414.0667 0 -1 41148.3848 13  3
 194544256.191 0 -1 41148.3848 13  4
 4148.78094569 0 0 41148.3848 13  2
 2506581519.74 0 0 41148.3848 13  3
 259.499180595 0 0 41148.3848 13  4
 time t = 1.2811413638e-009
 6992843.28438 0 -1 10000 3  0
 1114838770.31 0 0 41148.3848 3  6
 1714975799.88 0 0 41148.3848 3  7
 1556291517.45 0 0 41148.3848 3  8
 1635633658.5 0 0 41148.3848 3  9
 135443349.302 0 0 41148.3848 3  13
 353038367.69 0 0 41148.3848 3  14
 3029971188.79 0 0 41148.3848 3  15
 1472438862.03 0 0 41148.3848 3  16
 1543379715.42 0 0 41148.3848 3  17
 time t = 1.33541114145e-009
 285149505.646 0 -1 41148.3848 16  2
 5639775.07452 0 -1 41148.3848 16  3
 22556070.8389 0 -1 41148.3848 16  4
 119768812.929 0 0 41148.3848 16  2
 2387271817.5 0 0 41148.3848 16  3
 718804772.352 0 0 41148.3848 16  4
 time t = 1.57110618441e-009
 6992843.28438 0 -1 10000 3  0
 1114717824.55 0 0 41148.3848 3  6
 1635456213.2 0 0 41148.3848 3  7
 1635456213.2 0 0 41148.3848 3  8
 1635456213.25 0 0 41148.3848 3  9
 493737686.097 0 0 41148.3848 3  13
 3017597691.24 0 0 41148.3848 3  14
 6735821.51613 0 0 41148.3848 3  15
 1547605803.08 0 0 41148.3848 3  16
 1467885596.99 0 0 41148.3848 3  17
 time t = 1.59107307343e-009
 2.33612598715 0 -1 41148.3848 16  2
 313345371.798 0 -1 41148.3848 16  3
 4.54137991885 0 -1 41148.3848 16  4
 227150386.866 0 0 41148.3848 16  2
 257037310.225 0 0 41148.3848 16  3
 2053390998.4 0 0 41148.3848 16  4
 time t = 2.09107307343e-009
 244020602.85 0 -1 41148.3848 16  2
 16531576.6072 0 -1 41148.3848 16  3
 52793135.7512 0 -1 41148.3848 16  4
 16487674.1658 0 0 41148.3848 16  2
 333935445.954 0 0 41148.3848 16  3
 2675783657.66 0 0 41148.3848 16  4
 time t = 2.34892551577e-009
 6992843.27789 0 -1 10000 4  0
 2228786626.81 0 0 41148.3848 4  6
 2395653.12095 0 0 41148.3848 4  7
 3267301997.64 0 0 41148.3848 4  8
 262564.159652 0 0 41148.3848 4  9
 45620792.3787 0 0 41148.3848 4  13
 20.8027144645 0 0 41148.3848 4  14
 3989735081.56 0 0 41148.3848 4  15
 29733321.8712 0 0 41148.3848 4  16
 2968992752.2 0 0 41148.3848 4  17
 time t = 2.36357568412e-009
 1702746.29491 0 -1 41148.3848 15  2
 309509020.619 0 -1 41148.3848 15  3
 2133609.197 0 -1 41148.3848 15  4
 131393170.48 0 0 41148.3848 15  2
 405088654.353 0 0 41148.3848 15  3
 3241288849.75 0 0 41148.3848 15  4
 time t = 2.47553285847e-009
 6992843.27789 0 -1 10000 4  0
 2228680962.26 0 0 41148.3848 4  6
 3269001616.29 0 0 41148.3848 4  8
 803572.696348 0 0 41148.3848 4  9
 301847978.587 0 0 41148.3848 4  13
 493352.061653 0 0 41148.3848 4  14
 1.34621987063 0 0 41148.3848 4  15
 2712622646.56 0 0 41148.3848 4  16
 4018784511.83 0 0 41148.3848 4  17
 time t = 2.52596489066e-009
 64008789.5589 0 -1 41148.3848 17  2
 92664072.0744 0 -1 41148.3848 17  3
 156672861.655 0 -1 41148.3848 17  4
 2294445666.55 0 0 41148.3848 17  2
 3187079.87702 0 0 41148.3848 17  3
 29920651.2728 0 0 41148.3848 17  4
 time t = 2.92813326733e-009
 6992843.28438 0 -1 10000 2  0
 1114151589.53 0 0 41148.3848 2  6
 1694239018.68 0 0 41148.3848 2  7
 1575011906.48 0 0 41148.3848 2  8
 1634625462.17 0 0 41148.3848 2  9
 559.148265207 0 0 41148.3848 2  13
